definition_id,market_day_clusters,resamples,seed,lower_bps,upper_bps
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,966,10000,20260719,-21.790995009347863,-16.51802085306798
kda03_v1_primary_negative_basis_impulse_continuation_timeout_6h,964,10000,20260719,-44.00356506268722,-26.93687523528455
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_1h,692,10000,20260719,-19.304116064628964,-6.697291345167594
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_6h,691,10000,20260719,-8.295262611564572,26.807700748065045
kda03_v1_primary_negative_reference_led_catchup_timeout_1h,902,10000,20260719,-19.739329007127914,-12.621942421843022
kda03_v1_primary_negative_reference_led_catchup_timeout_6h,900,10000,20260719,-27.48890081882865,-9.650446576601023
kda03_v1_primary_positive_basis_impulse_continuation_timeout_1h,990,10000,20260719,-19.639197908085833,-14.586782233919891
kda03_v1_primary_positive_basis_impulse_continuation_timeout_6h,990,10000,20260719,-27.082196942128576,-10.258566330289266
kda03_v1_primary_positive_completed_basis_impulse_rejection_timeout_1h,806,10000,20260719,-19.85874666617326,-9.730367740504287
kda03_v1_primary_positive_completed_basis_impulse_rejection_timeout_6h,805,10000,20260719,-36.442016129143305,-10.61432095754131
kda03_v1_primary_positive_reference_led_catchup_timeout_1h,881,10000,20260719,-13.534383153592866,-8.149884900072493
kda03_v1_primary_positive_reference_led_catchup_timeout_6h,880,10000,20260719,-21.548271480452488,-0.7774754721451115
kda03_v1_robustness_negative_basis_impulse_continuation_timeout_1h,936,10000,20260719,-24.029230562246227,-17.36576442411618
kda03_v1_robustness_negative_basis_impulse_continuation_timeout_6h,934,10000,20260719,-48.424510438252184,-29.522061703084628
kda03_v1_robustness_negative_completed_basis_impulse_rejection_timeout_1h,527,10000,20260719,-21.262937956967257,-4.272626972117582
kda03_v1_robustness_negative_completed_basis_impulse_rejection_timeout_6h,526,10000,20260719,-24.873435475595734,16.014907581475597
kda03_v1_robustness_negative_reference_led_catchup_timeout_1h,801,10000,20260719,-22.7781564147304,-13.828691326922277
kda03_v1_robustness_negative_reference_led_catchup_timeout_6h,800,10000,20260719,-33.613775191065436,-11.271517344136932
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_1h,988,10000,20260719,-20.130506166890694,-15.019905968516474
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_6h,988,10000,20260719,-28.37948747149171,-11.682726388450254
kda03_v1_robustness_positive_completed_basis_impulse_rejection_timeout_1h,741,10000,20260719,-23.97079899526118,-11.57649102287466
kda03_v1_robustness_positive_completed_basis_impulse_rejection_timeout_6h,740,10000,20260719,-45.06876227271946,-14.368256776758521
kda03_v1_robustness_positive_reference_led_catchup_timeout_1h,856,10000,20260719,-14.523722791245586,-8.314591683163599
kda03_v1_robustness_positive_reference_led_catchup_timeout_6h,854,10000,20260719,-21.544939440832458,-1.3397699265370064
