definition_id,attempt,base_market_day_mean_positive,base_market_day_median_positive,bootstrap_lower_ge_minus5,stress_mean_ge_minus10,symbol_contribution_le_25pct,year_contribution_le_70pct,day_contribution_le_10pct,adequate_market_day_clusters,no_material_estimand_or_context_dependence,no_single_event_or_defect_explanation,control_eligible
kda03_v1_primary_negative_basis_impulse_continuation_timeout_1h,primary,False,False,False,False,False,False,True,True,True,True,False
kda03_v1_primary_negative_basis_impulse_continuation_timeout_6h,primary,False,False,False,False,True,False,True,True,True,True,False
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_1h,primary,False,False,False,False,True,False,True,True,True,True,False
kda03_v1_primary_negative_completed_basis_impulse_rejection_timeout_6h,primary,True,True,False,True,True,True,True,True,True,True,False
kda03_v1_primary_negative_reference_led_catchup_timeout_1h,primary,False,False,False,False,False,False,True,True,True,True,False
kda03_v1_primary_negative_reference_led_catchup_timeout_6h,primary,False,False,False,False,False,False,True,True,True,True,False
kda03_v1_primary_positive_basis_impulse_continuation_timeout_1h,primary,False,False,False,False,False,False,True,True,True,True,False
kda03_v1_primary_positive_basis_impulse_continuation_timeout_6h,primary,False,False,False,False,True,False,True,True,True,True,False
kda03_v1_primary_positive_completed_basis_impulse_rejection_timeout_1h,primary,False,False,False,False,False,False,True,True,True,True,False
kda03_v1_primary_positive_completed_basis_impulse_rejection_timeout_6h,primary,False,False,False,False,True,False,True,True,True,True,False
kda03_v1_primary_positive_reference_led_catchup_timeout_1h,primary,False,False,False,False,False,False,True,True,True,True,False
kda03_v1_primary_positive_reference_led_catchup_timeout_6h,primary,False,False,False,False,True,False,True,True,True,True,False
kda03_v1_robustness_negative_basis_impulse_continuation_timeout_1h,robustness,False,False,False,False,False,False,True,True,True,True,False
kda03_v1_robustness_negative_basis_impulse_continuation_timeout_6h,robustness,False,False,False,False,True,False,True,True,True,True,False
kda03_v1_robustness_negative_completed_basis_impulse_rejection_timeout_1h,robustness,False,False,False,False,True,False,True,True,False,True,False
kda03_v1_robustness_negative_completed_basis_impulse_rejection_timeout_6h,robustness,False,True,False,False,True,False,True,True,False,True,False
kda03_v1_robustness_negative_reference_led_catchup_timeout_1h,robustness,False,False,False,False,False,False,True,True,True,True,False
kda03_v1_robustness_negative_reference_led_catchup_timeout_6h,robustness,False,False,False,False,True,False,True,True,False,True,False
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_1h,robustness,False,False,False,False,False,False,True,True,True,True,False
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_6h,robustness,False,False,False,False,False,False,True,True,True,True,False
kda03_v1_robustness_positive_completed_basis_impulse_rejection_timeout_1h,robustness,False,False,False,False,False,False,True,True,True,True,False
kda03_v1_robustness_positive_completed_basis_impulse_rejection_timeout_6h,robustness,False,False,False,False,False,False,True,True,True,True,False
kda03_v1_robustness_positive_reference_led_catchup_timeout_1h,robustness,False,False,False,False,False,False,True,True,True,True,False
kda03_v1_robustness_positive_reference_led_catchup_timeout_6h,robustness,False,False,False,False,True,False,True,True,True,True,False
