model,fold,target,train_n,test_n,t_test_start,t_test_end,scope,n,pos_rate,auc,avg_precision,logloss,brier,accuracy@0.5,precision@0.5,recall@0.5,mean_pnl_R,top10_n,top10_mean_pnl_R,top10_winrate,top10_timerate
logreg,0,y_good_05,9326,1879,2023-01-22 00:00:00+00:00,2023-11-09 00:00:00+00:00,ALL,1879.0,0.2017030335284726,0.748084432717678,0.45947875292216767,0.595052237797323,0.20497475201541307,0.6838744012772752,0.35213204951856947,0.6754617414248021,-0.23216529225613206,187.0,1.2703813554084753,0.6042780748663101,0.32085561497326204
logreg,1,y_good_05,9282,1879,2023-11-09 00:00:00+00:00,2024-03-02 18:15:00+00:00,ALL,1879.0,0.2527940393826503,0.7750082471135102,0.5107079149235274,0.5712319667409573,0.19443128164216403,0.7051623203831825,0.4472630173564753,0.7052631578947368,0.050057995175261105,187.0,1.5537555796638636,0.6363636363636364,0.31016042780748665
logreg,2,y_good_05,9312,1879,2024-03-03 00:00:00+00:00,2024-09-22 00:00:00+00:00,ALL,1879.0,0.16657796700372537,0.7622746134919759,0.39489752925225935,0.4972630907604101,0.16431571207240644,0.7573177221926557,0.3543788187372709,0.5559105431309904,-0.3452783739196035,187.0,1.0428726517495233,0.5721925133689839,0.35294117647058826
logreg,3,y_good_05,9327,1878,2024-09-22 00:00:00+00:00,2024-12-04 00:05:00+00:00,ALL,1878.0,0.25612353567625135,0.7385338645181165,0.48401670842711764,0.6146917710092711,0.21188670841863633,0.6741214057507987,0.41740226986128626,0.6881496881496881,-0.000893571909980579,187.0,1.5298845844959228,0.6631016042780749,0.33689839572192515
logreg,4,y_good_05,9374,1878,2024-12-04 00:05:00+00:00,2025-07-08 17:00:00+00:00,ALL,1878.0,0.22896698615548455,0.7807754079403828,0.5340023705262019,0.6163736669228427,0.20965990309239646,0.679978700745474,0.39611178614823817,0.7581395348837209,-0.10691295528455985,187.0,1.7671541023047268,0.7379679144385026,0.39037433155080214
logreg,5,y_good_05,9393,1878,2025-07-09 00:00:00+00:00,2025-11-13 23:25:00+00:00,ALL,1878.0,0.25292864749733757,0.7505690812919683,0.5007619098276986,0.6195600169656188,0.2146065079902026,0.6549520766773163,0.3990665110851809,0.72,0.03035717275104572,187.0,1.558037668225262,0.6363636363636364,0.24598930481283424
lgbm,0,y_good_05,9326,1879,2023-01-22 00:00:00+00:00,2023-11-09 00:00:00+00:00,ALL,1879.0,0.2017030335284726,0.7708056288478451,0.4621634024765918,0.47380406947552617,0.14301983490550452,0.8078765300691857,0.5424528301886793,0.3034300791556728,-0.23216529225613206,187.0,1.1646567333602056,0.5882352941176471,0.32085561497326204
lgbm,1,y_good_05,9282,1879,2023-11-09 00:00:00+00:00,2024-03-02 18:15:00+00:00,ALL,1879.0,0.2527940393826503,0.7933618233618234,0.561046944049296,0.501400685022006,0.1587589545480844,0.7791378392762107,0.6442307692307693,0.28210526315789475,0.050057995175261105,187.0,1.9002349849645166,0.6951871657754011,0.25133689839572193
lgbm,2,y_good_05,9312,1879,2024-03-03 00:00:00+00:00,2024-09-22 00:00:00+00:00,ALL,1879.0,0.16657796700372537,0.7904634832033752,0.44070188625046647,0.39192489450238016,0.11980530565211302,0.8398084087280469,0.5422535211267606,0.24600638977635783,-0.3452783739196035,187.0,1.1275690187954173,0.5668449197860963,0.2887700534759358
lgbm,3,y_good_05,9327,1878,2024-09-22 00:00:00+00:00,2024-12-04 00:05:00+00:00,ALL,1878.0,0.25612353567625135,0.7502503880456637,0.4843356595070224,0.608595523795892,0.18412484040448102,0.7534611288604899,0.5555555555555556,0.18711018711018712,-0.000893571909980579,187.0,1.4595681679220802,0.5828877005347594,0.22994652406417113
lgbm,4,y_good_05,9374,1878,2024-12-04 00:05:00+00:00,2025-07-08 17:00:00+00:00,ALL,1878.0,0.22896698615548455,0.7480550558910446,0.44002510199765865,0.5489292877300657,0.1680547906509149,0.7742279020234292,0.5263157894736842,0.13953488372093023,-0.10691295528455985,187.0,1.2326675897568329,0.5721925133689839,0.24598930481283424
lgbm,5,y_good_05,9393,1878,2025-07-09 00:00:00+00:00,2025-11-13 23:25:00+00:00,ALL,1878.0,0.25292864749733757,0.7782181040627227,0.5593327707360841,0.5297432270572242,0.1634108194417722,0.7752928647497338,0.6568047337278107,0.2336842105263158,0.03035717275104572,187.0,1.876474934978897,0.6898395721925134,0.2192513368983957
