bin,bin_low,bin_high,n,mean_score,mean_pnl_R,risk_multiplier
0,0.0,0.05,810,0.030500002021408693,-1.0291371118065038,0.01
1,0.05,0.1,1155,0.07536052582280502,-0.7211851089861231,0.01
2,0.1,0.15000000000000002,1070,0.12468573884683931,-0.547726072220801,0.01
3,0.15000000000000002,0.2,872,0.17425324476725806,-0.2523259651926709,0.01
4,0.2,0.25,769,0.2241059280632904,-0.07878169233512393,0.01
5,0.25,0.30000000000000004,625,0.27366654497652365,0.07528327844439109,0.0647492150041202
6,0.30000000000000004,0.35000000000000003,512,0.3246786966523876,0.20700978849600835,0.1605463584014494
7,0.35000000000000003,0.4,390,0.3738444174990793,0.3735665107016474,0.2816735194768508
8,0.4,0.45,313,0.42357512761660304,0.6384281603358282,0.4742922218209448
9,0.45,0.5,260,0.47440042936743254,0.8247672041148242,0.609805931934595
10,0.5,0.55,211,0.5232173192962639,0.9400694222310163,0.693658628848669
11,0.55,0.6000000000000001,146,0.5725481855338502,1.1178512824854547,0.822949189674768
12,0.6000000000000001,0.65,121,0.6220576545259789,1.4923973046456023,1.0
13,0.65,0.7000000000000001,94,0.6722447938208105,1.5994518558564619,0.01
14,0.7000000000000001,0.75,64,0.7246660963753169,2.0745383761763954,0.01
15,0.75,0.8,46,0.7692362969701425,2.0229317465084096,0.01
16,0.8,0.8500000000000001,27,0.8228962764888499,1.8010084181081396,0.01
17,0.8500000000000001,0.9,13,0.874450586002381,2.1982985267111412,0.01
18,0.9,0.9500000000000001,8,0.9279800547273326,3.1106316673534486,0.01
19,0.9500000000000001,1.0,8,0.973947522781173,0.5752736441224575,0.01
